"","X","Date","Match.ID","Team.Name","Player.Name","Game..","Mode","Map.Name","Win.Team","Rnds.Won","K.D","Kills","Deaths","Assist","Total.Dmg","Shots.per.Kill","Kills.Min","Deaths.Min","Dmg.Min","Total.Time.Alive","Total.First.Bloods","Total.First.Bloods.Deaths","Total.Hill.Time","Total.Rotation.Kills","Total.Rotation.Deaths","Total.Tacticals.Used","Total.Objective.Tiers.Contributed","Total.Untraded.Kills","Total.Untraded.Deaths","Total.Traded.Kills","Total.Traded.Deaths","Total.Shots.Hit","Total.Shots.Head","Total.Game.Win","Total.Game.Loss","Rnd.Lost","Total.Game.Score","Total.Game.Plus.Minus","Total.Dmg.Dealt","Duration","Stage","Opponent.Name","Total.Opp.Game.Score"
"198",206,"6/16/2023",11481,"MIN","Bance",3,"Hardpoint","Breenbergh Hotel","BOS",0,0.81,17,21,9,2333,19.29,1.7,2.1,233.3,503.28,1,0,"0",2,2,10,0,12,12,5,9,98,1,0,1,1,211,39,"2333",503,"Stage5","BOS",250
"199",207,"6/16/2023",11481,"MIN","Cammy",3,"Hardpoint","Breenbergh Hotel","BOS",0,0.6,15,25,8,2258,19.87,1.5,2.5,225.8,479.536,0,0,"0",1,5,14,0,9,19,6,7,77,9,0,1,1,211,39,"2258",480,"Stage5","BOS",250
"200",208,"6/16/2023",11481,"MIN","Fame",3,"Hardpoint","Breenbergh Hotel","BOS",0,1,22,22,3,2263,13.32,2.2,2.2,226.3,497.664,0,0,"0",0,5,17,0,17,16,5,6,92,6,0,1,1,211,39,"2263",498,"Stage5","BOS",250
"201",209,"6/16/2023",11481,"BOS","Beans",2,"Control","El Asilo","BOS",3,1.58,19,12,8,2315,24,1.73,1.09,210.45,582.736,0,0,"0",0,0,13,9,16,9,3,3,90,13,1,0,0,3,3,"2315",583,"Stage5","MIN",211
"202",210,"6/16/2023",11481,"BOS","Kremp",2,"Control","El Asilo","BOS",3,0.89,16,18,4,1702,15.06,1.45,1.64,154.73,551.472,1,1,"0",0,0,12,6,11,14,5,4,71,4,1,0,0,3,3,"1702",551,"Stage5","MIN",211
"203",211,"6/16/2023",11481,"BOS","Owakening",2,"Control","El Asilo","BOS",3,1.55,17,11,4,1942,18.76,1.55,1,176.55,590.88,0,0,"0",0,0,7,6,16,8,1,3,77,7,1,0,0,3,3,"1942",591,"Stage5","MIN",211
"204",212,"6/16/2023",11481,"BOS","Snoopy",2,"Control","El Asilo","BOS",3,0.8,16,20,7,2153,20.69,1.45,1.82,195.73,543.744,1,0,"0",0,0,12,9,13,12,3,8,90,9,1,0,0,3,3,"2153",544,"Stage5","MIN",211
"205",213,"6/16/2023",11481,"MIN","Attach",2,"Control","El Asilo","BOS",0,1.17,14,12,4,2205,24.07,1.27,1.09,200.45,583.392,0,0,"0",0,0,10,3,11,10,3,2,81,9,0,1,3,0,3,"2205",583,"Stage5","BOS",250
"206",214,"6/16/2023",11481,"MIN","Bance",2,"Control","El Asilo","BOS",0,0.94,17,18,2,1897,16.18,1.55,1.64,172.45,553.184,1,1,"0",0,0,9,3,14,14,3,4,75,8,0,1,3,0,3,"1897",553,"Stage5","BOS",250
"207",215,"6/16/2023",11481,"MIN","Cammy",2,"Control","El Asilo","BOS",0,1.06,18,17,2,1916,15.33,1.64,1.55,174.18,556.624,0,0,"0",0,0,10,3,11,15,7,2,74,5,0,1,3,0,3,"1916",557,"Stage5","BOS",250
"208",216,"6/16/2023",11481,"MIN","Fame",2,"Control","El Asilo","BOS",0,0.57,12,21,6,1657,20.58,1.09,1.91,150.64,538.384,0,1,"0",0,0,12,0,7,17,5,4,62,7,0,1,3,0,3,"1657",538,"Stage5","BOS",250
"209",217,"6/16/2023",11481,"BOS","Beans",1,"S&D","Mercado Las Almas","MIN",2,0.71,5,7,0,598,11.8,0.42,0.58,49.83,480.384,3,0,"0",0,0,7,0,4,6,1,0,14,5,0,1,6,2,-4,"598",480,"Stage5","MIN",211
"210",218,"6/16/2023",11481,"BOS","Kremp",1,"S&D","Mercado Las Almas","MIN",2,1.14,8,7,1,958,11,0.67,0.58,79.83,473.536,2,0,"0",0,0,4,0,4,5,3,0,34,3,0,1,6,2,-4,"958",474,"Stage5","MIN",211
"211",219,"6/16/2023",11481,"BOS","Owakening",1,"S&D","Mercado Las Almas","MIN",2,1,6,6,0,668,12,0.5,0.5,55.67,461.696,1,1,"0",0,0,7,0,3,5,2,0,27,0,0,1,6,2,-4,"668",462,"Stage5","MIN",211
"212",220,"6/16/2023",11481,"BOS","Snoopy",1,"S&D","Mercado Las Almas","MIN",2,0,0,8,1,453,NA,0,0.67,37.75,425.04,0,1,"0",0,0,6,0,0,4,0,2,16,3,0,1,6,2,-4,"453",425,"Stage5","MIN",211
"213",221,"6/16/2023",11481,"MIN","Attach",1,"S&D","Mercado Las Almas","MIN",6,0.8,4,5,3,887,36.25,0.33,0.42,73.92,486.256,1,2,"0",0,0,8,0,2,3,0,2,35,1,1,0,2,6,-4,"887",486,"Stage5","BOS",250
"214",222,"6/16/2023",11481,"MIN","Bance",1,"S&D","Mercado Las Almas","MIN",6,2.75,11,4,1,948,11.55,0.92,0.33,79,552.112,1,1,"0",0,0,7,0,8,2,1,0,37,0,1,0,2,6,-4,"948",552,"Stage5","BOS",250
"215",223,"6/16/2023",11481,"MIN","Cammy",1,"S&D","Mercado Las Almas","MIN",6,1.17,7,6,1,751,10.71,0.58,0.5,62.58,473.52,0,2,"0",0,0,7,0,7,4,0,2,26,7,1,0,2,6,-4,"751",474,"Stage5","BOS",250
"216",224,"6/16/2023",11481,"MIN","Fame",1,"S&D","Mercado Las Almas","MIN",6,1.5,6,4,1,761,10,0.5,0.33,63.42,487.936,0,1,"0",0,0,7,0,3,2,1,2,24,4,1,0,2,6,-4,"761",488,"Stage5","BOS",250
"217",225,"6/16/2023",11481,"BOS","Beans",0,"Hardpoint","El Bagra Fortress","BOS",1,1.27,19,15,10,2217,21.16,2.71,2.14,316.71,386.016,0,0,"0",1,2,12,0,14,8,5,7,81,8,1,0,0,250,163,"2217",386,"Stage5","MIN",211
"218",226,"6/16/2023",11481,"BOS","Kremp",0,"Hardpoint","El Bagra Fortress","BOS",1,1.86,26,14,8,2945,12.65,3.71,2,420.71,375.28,0,0,"0",6,2,8,0,20,6,6,8,122,11,1,0,0,250,163,"2945",375,"Stage5","MIN",211
"219",227,"6/16/2023",11481,"BOS","Owakening",0,"Hardpoint","El Bagra Fortress","BOS",1,1.5,21,14,9,2565,13.33,3,2,366.43,364.24,0,1,"0",3,4,13,0,17,7,4,7,89,6,1,0,0,250,163,"2565",364,"Stage5","MIN",211
"220",228,"6/16/2023",11481,"BOS","Snoopy",0,"Hardpoint","El Bagra Fortress","BOS",1,1.47,22,15,8,2270,14.68,3.14,2.14,324.29,389.28,0,0,"0",5,4,11,0,13,9,9,6,86,10,1,0,0,250,163,"2270",389,"Stage5","MIN",211
"221",229,"6/16/2023",11481,"MIN","Attach",0,"Hardpoint","El Bagra Fortress","BOS",0,0.75,15,20,5,1986,21.93,2.14,2.86,283.71,360.512,0,0,"0",4,4,12,0,8,13,7,7,72,1,0,1,1,87,163,"1986",361,"Stage5","BOS",250
"222",230,"6/16/2023",11481,"MIN","Bance",0,"Hardpoint","El Bagra Fortress","BOS",0,0.67,16,24,6,2290,21.5,2.29,3.43,327.14,338.864,1,0,"0",3,4,4,0,9,19,7,5,83,7,0,1,1,87,163,"2290",339,"Stage5","BOS",250
"223",231,"6/16/2023",11481,"MIN","Cammy",0,"Hardpoint","El Bagra Fortress","BOS",0,0.73,16,22,8,1805,18.81,2.29,3.14,257.86,354.208,0,0,"0",2,4,17,0,9,17,7,5,67,4,0,1,1,87,163,"1805",354,"Stage5","BOS",250
"224",232,"6/16/2023",11481,"MIN","Fame",0,"Hardpoint","El Bagra Fortress","BOS",0,0.5,11,22,7,1277,20,1.57,3.14,182.43,350.688,0,0,"0",3,3,10,0,4,15,7,7,44,6,0,1,1,87,163,"1277",351,"Stage5","BOS",250
"225",233,"6/16/2023",11480,"LAT","Drazah",4,"S&D","El Bagra Fortress","SEA",4,1.33,8,6,2,1216,15.63,0.67,0.5,101.33,461.088,2,0,"0",0,0,8,0,5,4,3,0,43,5,0,1,6,4,2,"1216",461,"Stage5","SEA",6
"226",234,"6/16/2023",11480,"LAT","Envoy",4,"S&D","El Bagra Fortress","SEA",4,0.75,6,8,2,569,13.67,0.5,0.67,47.42,410.576,2,2,"0",0,0,10,0,4,6,1,1,25,3,0,1,6,4,2,"569",411,"Stage5","SEA",6
"227",235,"6/16/2023",11480,"LAT","Kenny",4,"S&D","El Bagra Fortress","SEA",4,0.86,6,7,2,813,24.33,0.5,0.58,67.75,476.56,1,0,"0",0,0,10,0,3,4,1,1,32,10,0,1,6,4,2,"813",477,"Stage5","SEA",6
"228",236,"6/16/2023",11480,"LAT","Octane",4,"S&D","El Bagra Fortress","SEA",4,0.83,5,6,2,851,22.2,0.42,0.5,70.92,497.808,1,1,"0",0,0,10,0,3,4,1,1,26,5,0,1,6,4,2,"851",498,"Stage5","SEA",6
